matrix_version,route_id,provider,offering,adapter_id,protocol,capability,support,action,requires_explicit_degradation,limitations,evidence_digest,code_paths,test_evidence
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,file_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,function_error_result,partial,degraded,true,portable is_error is unavailable; explicit degradation preserves output text,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,hosted_tools,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,parallel_tool_calling,unsupported,rejected,false,portable parallel-tool control is not approved in this slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,prompt_caching,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,provider_continuation,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,realtime,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,reasoning,compatible,transformed,false,,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,reasoning_summary,compatible,transformed,false,provider reasoning output is preserved without summary-style control,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,server_state,compatible,transformed,false,previous_response_id is valid for seven days and remains identity-bound,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,streaming,compatible,transformed,false,,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,structured_output,unsupported,rejected,false,not approved in the current Responses slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,text_generation,compatible,transformed,false,,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,tool_calling,compatible,transformed,false,function tools only; required selection needs exactly one tool,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,usage_reporting,compatible,transformed,false,,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,video_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.ap-southeast-1.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,vision_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:63acdd986a68816349d7954aa792df8368f56bb5bd7fba42f89936ee6bde5eec,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,audio_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,background_execution,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,batch,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
